File,Probability
0.txt,0.082780559
1.txt,0.320652468
10.txt,0.189688053
100.txt,0.122599285
1000.txt,0.1511621
10000.txt,0.766126065
10001.txt,0.435046277
10002.txt,0.671261094
10003.txt,0.745287659
10004.txt,0.525579505
10005.txt,0.892930612
10006.txt,0.563780633
10007.txt,0.746158277
10008.txt,0.893642858
10009.txt,0.935384382
1001.txt,0.24942594
10010.txt,0.586916402
10011.txt,0.316776397
10012.txt,0.559670265
10013.txt,0.952843055
10014.txt,0.62005282
10015.txt,0.256727715
10016.txt,0.868183367
10017.txt,0.203508029
10018.txt,0.881257473
10019.txt,0.298266248
1002.txt,0.100841795
10020.txt,0.883467068
10021.txt,0.444752611
10022.txt,0.335203703
10023.txt,0.942880582
10024.txt,0.935384382
10025.txt,0.745287659
10026.txt,0.961709635
10027.txt,0.463941005
10028.txt,0.362493711
10029.txt,0.244906361
1003.txt,0.083011946
10030.txt,0.191466538
10031.txt,0.773630202
10032.txt,0.301656474
10033.txt,0.864097361
10034.txt,0.864771006
10035.txt,0.918938194
10036.txt,0.962571872
10037.txt,0.262026023
10038.txt,0.971410311
10039.txt,0.952843055
1004.txt,0.134543456
10040.txt,0.939107044
10041.txt,0.362493711
10042.txt,0.961709635
10043.txt,0.930116574
10044.txt,0.748187594
10045.txt,0.915869506
10046.txt,0.300737831
10047.txt,0.305937718
10048.txt,0.170771248
10049.txt,0.210076197
1005.txt,0.149735268
10050.txt,0.615394248
10051.txt,0.43207266
10052.txt,0.876778822
10053.txt,0.270878691
10054.txt,0.892930612
10055.txt,0.238676541
10056.txt,0.794059889
10057.txt,0.774167326
10058.txt,0.518625138
10059.txt,0.341985026
1006.txt,0.111676407
10060.txt,0.342291891
10061.txt,0.618041208
10062.txt,0.239079201
10063.txt,0.18318747
10064.txt,0.488793051
10065.txt,0.915869506
10066.txt,0.093924952
10067.txt,0.300737831
10068.txt,0.688329286
10069.txt,0.883467068
1007.txt,0.065762674
10070.txt,0.892930612
10071.txt,0.856707137
10072.txt,0.621049147
10073.txt,0.952843055
10074.txt,0.324649248
10075.txt,0.886395661
10076.txt,0.730977988
10077.txt,0.73445632
10078.txt,0.305560146
10079.txt,0.556818832
1008.txt,0.191032848
10080.txt,0.358057319
10081.txt,0.599876515
10082.txt,0.6815982
10083.txt,0.883467068
10084.txt,0.961709635
10085.txt,0.335875516
10086.txt,0.893642858
10087.txt,0.454157889
10088.txt,0.201610025
10089.txt,0.942011604
1009.txt,0.07602741
10090.txt,0.868183367
10091.txt,0.952543701
10092.txt,0.364961715
10093.txt,0.172124119
10094.txt,0.856707137
10095.txt,0.961709635
10096.txt,0.630528667
10097.txt,0.286627544
10098.txt,0.952843055
10099.txt,0.915869506
101.txt,0.075447402
1010.txt,0.063987116
10100.txt,0.962571872
10101.txt,0.746158277
